0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,,,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended
,,,"March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,"
,,,2025,2025,2025,,,,2026,2026,2026
Cash payments for lease liabilities:,Cash payments for lease liabilities:,Cash payments for lease liabilities:,,,,,,,,,
Operating cash flows used for operating leases,Operating cash flows used for operating leases,Operating cash flows used for operating leases,$,878,,,,,$,918,
Operating cash flows used for finance leases,Operating cash flows used for finance leases,Operating cash flows used for finance leases,$,15,,,,,$,17,
Financing cash flows used for finance leases(1),Financing cash flows used for finance leases(1),Financing cash flows used for finance leases(1),$,192,,,,,$,522,
Assets obtained in exchange for lease liabilities:,Assets obtained in exchange for lease liabilities:,Assets obtained in exchange for lease liabilities:,,,,,,,,,
Operating leases,Operating leases,Operating leases,$,697,,,,,$,1075,
Finance leases,Finance leases,Finance leases,$,523,,,,,$,211,
