0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,,,,,,,,,,,,,,,
(In millions),,Level 1,Level 1,,,,Level 2,,,Level 3,Level 3,,,Total,Total,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"March 31, 2026",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Derivative assets,,$,1,,,$,1074,,,$,5,,,$,1080,
Derivative liabilities,,,0,,,,(671,),,,0,,,,(671,)
,,,,,,,,,,,,,,,,
"June 30, 2025",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Derivative assets,,,1,,,,474,,,,283,,,,758,
Derivative liabilities,,,0,,,,"(1,832",),,,(5,),,,"(1,837",)
,,,,,,,,,,,,,,,,
