0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,,,Number of Shares,Number of Shares,Number of Shares,,,,Weighted- Average Grant-Date Fair Value,Weighted- Average Grant-Date Fair Value,Weighted- Average Grant-Date Fair Value
"Unvested as of December 31, 2025","Unvested as of December 31, 2025","Unvested as of December 31, 2025",282,282,,,,,$,159.75,
Granted,Granted,Granted,90,90,,,,,$,305.14,
Vested,Vested,Vested,(44),(44),,,,,$,155.46,
Forfeited/canceled,Forfeited/canceled,Forfeited/canceled,(7),(7),,,,,$,167.42,
"Unvested as of March 31, 2026","Unvested as of March 31, 2026","Unvested as of March 31, 2026",321,321,,,,,$,200.89,
