0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Six Months Ended March 28, 2026","Six Months Ended March 28, 2026","Six Months Ended March 28, 2026","Six Months Ended March 28, 2026","Six Months Ended March 28, 2026","Six Months Ended March 28, 2026","Six Months Ended March 28, 2026","Six Months Ended March 28, 2026","Six Months Ended March 28, 2026","Six Months Ended March 28, 2026","Six Months Ended March 28, 2026","Six Months Ended March 28, 2026","Six Months Ended March 28, 2026","Six Months Ended March 28, 2026","Six Months Ended March 28, 2026","Six Months Ended March 28, 2026","Six Months Ended March 28, 2026","Six Months Ended March 28, 2026","Six Months Ended March 28, 2026","Six Months Ended March 28, 2026","Six Months Ended March 28, 2026","Six Months Ended March 28, 2026","Six Months Ended March 28, 2026","Six Months Ended March 28, 2026","Six Months Ended March 28, 2026","Six Months Ended March 28, 2026","Six Months Ended March 28, 2026","Six Months Ended March 28, 2026","Six Months Ended March 28, 2026","Six Months Ended March 28, 2026","Six Months Ended March 28, 2026","Six Months Ended March 28, 2026","Six Months Ended March 28, 2026","Six Months Ended March 28, 2026","Six Months Ended March 28, 2026","Six Months Ended March 28, 2026","Six Months Ended March 28, 2026","Six Months Ended March 28, 2026","Six Months Ended March 28, 2026"
,,,Americas,Americas,Americas,,,,Europe,Europe,Europe,,,,GreaterChina,GreaterChina,GreaterChina,,,,Japan,Japan,Japan,,,,Rest of Asia Pacific,Rest of Asia Pacific,Rest of Asia Pacific,,,,Corporate,Corporate,Corporate,,,,Total,Total,Total
Net sales,Net sales,Net sales,$,103622,,,,,$,66201,,,,,$,46023,,,,,$,17814,,,,,$,21280,,,,,$,—,,,,,$,254940,
Cost of sales,Cost of sales,Cost of sales,"(54,963)","(54,963)",,,,,"(32,817)","(32,817)",,,,,"(23,663)","(23,663)",,,,,"(8,778)","(8,778)",,,,,"(10,707)","(10,707)",,,,,—,—,,,,,"(130,928)","(130,928)",
Research and development,Research and development,Research and development,—,—,,,,,—,—,,,,,—,—,,,,,—,—,,,,,—,—,,,,,"(22,306)","(22,306)",,,,,"(22,306)","(22,306)",
Selling and marketing,Selling and marketing,Selling and marketing,"(5,333)","(5,333)",,,,,"(2,542)","(2,542)",,,,,"(1,379)","(1,379)",,,,,(584),(584),,,,,(760),(760),,,,,—,—,,,,,"(10,598)","(10,598)",
General and administrative,General and administrative,General and administrative,—,—,,,,,—,—,,,,,—,—,,,,,—,—,,,,,—,—,,,,,"(4,371)","(4,371)",,,,,"(4,371)","(4,371)",
Operating income/(loss),Operating income/(loss),Operating income/(loss),$,43326,,,,,$,30842,,,,,$,20981,,,,,$,8452,,,,,$,9813,,,,,$,"(26,677)",,,,,$,86737,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Six Months Ended March 29, 2025","Six Months Ended March 29, 2025","Six Months Ended March 29, 2025","Six Months Ended March 29, 2025","Six Months Ended March 29, 2025","Six Months Ended March 29, 2025","Six Months Ended March 29, 2025","Six Months Ended March 29, 2025","Six Months Ended March 29, 2025","Six Months Ended March 29, 2025","Six Months Ended March 29, 2025","Six Months Ended March 29, 2025","Six Months Ended March 29, 2025","Six Months Ended March 29, 2025","Six Months Ended March 29, 2025","Six Months Ended March 29, 2025","Six Months Ended March 29, 2025","Six Months Ended March 29, 2025","Six Months Ended March 29, 2025","Six Months Ended March 29, 2025","Six Months Ended March 29, 2025","Six Months Ended March 29, 2025","Six Months Ended March 29, 2025","Six Months Ended March 29, 2025","Six Months Ended March 29, 2025","Six Months Ended March 29, 2025","Six Months Ended March 29, 2025","Six Months Ended March 29, 2025","Six Months Ended March 29, 2025","Six Months Ended March 29, 2025","Six Months Ended March 29, 2025","Six Months Ended March 29, 2025","Six Months Ended March 29, 2025","Six Months Ended March 29, 2025","Six Months Ended March 29, 2025","Six Months Ended March 29, 2025","Six Months Ended March 29, 2025","Six Months Ended March 29, 2025","Six Months Ended March 29, 2025"
,,,Americas,Americas,Americas,,,,Europe,Europe,Europe,,,,GreaterChina,GreaterChina,GreaterChina,,,,Japan,Japan,Japan,,,,Rest of Asia Pacific,Rest of Asia Pacific,Rest of Asia Pacific,,,,Corporate,Corporate,Corporate,,,,Total,Total,Total
Net sales,Net sales,Net sales,$,92963,,,,,$,58315,,,,,$,34515,,,,,$,16285,,,,,$,17581,,,,,$,—,,,,,$,219659,
Cost of sales,Cost of sales,Cost of sales,"(49,589)","(49,589)",,,,,"(31,068)","(31,068)",,,,,"(18,553)","(18,553)",,,,,"(8,003)","(8,003)",,,,,"(9,304)","(9,304)",,,,,—,—,,,,,"(116,517)","(116,517)",
Research and development,Research and development,Research and development,—,—,,,,,—,—,,,,,—,—,,,,,—,—,,,,,—,—,,,,,"(16,818)","(16,818)",,,,,"(16,818)","(16,818)",
Selling and marketing,Selling and marketing,Selling and marketing,"(5,091)","(5,091)",,,,,"(2,324)","(2,324)",,,,,"(1,176)","(1,176)",,,,,(534),(534),,,,,(707),(707),,,,,—,—,,,,,"(9,832)","(9,832)",
General and administrative,General and administrative,General and administrative,—,—,,,,,—,—,,,,,—,—,,,,,—,—,,,,,—,—,,,,,"(4,071)","(4,071)",,,,,"(4,071)","(4,071)",
Operating income/(loss),Operating income/(loss),Operating income/(loss),$,38283,,,,,$,24923,,,,,$,14786,,,,,$,7748,,,,,$,7570,,,,,$,"(20,889)",,,,,$,72421,
