0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,,,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended
,,,"March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,"
,,,2025,2025,2025,,,,2026,2026,2026
Sales and marketing expenses,Sales and marketing expenses,Sales and marketing expenses,$,6172,,,,,$,7606,
Sales and marketing expenses as a percentage of revenues,Sales and marketing expenses as a percentage of revenues,Sales and marketing expenses as a percentage of revenues,7,7,%,,,,7,7,%
