0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,,,Number ofRSUs(in thousands),Number ofRSUs(in thousands),Number ofRSUs(in thousands),,,,Weighted-Average Grant-Date Fair Value Per RSU,Weighted-Average Grant-Date Fair Value Per RSU,Weighted-Average Grant-Date Fair Value Per RSU
"Balance as of September 27, 2025","Balance as of September 27, 2025","Balance as of September 27, 2025",151574,151574,,,,,$,189.75,
RSUs granted,RSUs granted,RSUs granted,66083,66083,,,,,$,256.04,
RSUs vested,RSUs vested,RSUs vested,"(37,502)","(37,502)",,,,,$,174.38,
RSUs forfeited,RSUs forfeited,RSUs forfeited,"(6,170)","(6,170)",,,,,$,210.31,
"Balance as of March 28, 2026","Balance as of March 28, 2026","Balance as of March 28, 2026",173985,173985,,,,,$,217.51,
