0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,,,,,,,,,,,,,,,,,,,,,,
,,,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,,,,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended
,,,"March 28, 2026","March 28, 2026","March 28, 2026",,,,"March 29, 2025","March 29, 2025","March 29, 2025",,,,"March 28, 2026","March 28, 2026","March 28, 2026",,,,"March 29, 2025","March 29, 2025","March 29, 2025"
Net sales:,Net sales:,Net sales:,,,,,,,,,,,,,,,,,,,,,
Products,Products,Products,$,80208,,,,,$,68714,,,,,$,193951,,,,,$,166674,
Services,Services,Services,30976,30976,,,,,26645,26645,,,,,60989,60989,,,,,52985,52985,
Total net sales,Total net sales,Total net sales,111184,111184,,,,,95359,95359,,,,,254940,254940,,,,,219659,219659,
,,,,,,,,,,,,,,,,,,,,,,,
Cost of sales:,Cost of sales:,Cost of sales:,,,,,,,,,,,,,,,,,,,,,
Products,Products,Products,49179,49179,,,,,44030,44030,,,,,116657,116657,,,,,103477,103477,
Services,Services,Services,7224,7224,,,,,6462,6462,,,,,14271,14271,,,,,13040,13040,
Total cost of sales,Total cost of sales,Total cost of sales,56403,56403,,,,,50492,50492,,,,,130928,130928,,,,,116517,116517,
Gross margin,Gross margin,Gross margin,54781,54781,,,,,44867,44867,,,,,124012,124012,,,,,103142,103142,
,,,,,,,,,,,,,,,,,,,,,,,
Operating expenses:,Operating expenses:,Operating expenses:,,,,,,,,,,,,,,,,,,,,,
Research and development,Research and development,Research and development,11419,11419,,,,,8550,8550,,,,,22306,22306,,,,,16818,16818,
"Selling, general and administrative","Selling, general and administrative","Selling, general and administrative",7477,7477,,,,,6728,6728,,,,,14969,14969,,,,,13903,13903,
Total operating expenses,Total operating expenses,Total operating expenses,18896,18896,,,,,15278,15278,,,,,37275,37275,,,,,30721,30721,
,,,,,,,,,,,,,,,,,,,,,,,
Operating income,Operating income,Operating income,35885,35885,,,,,29589,29589,,,,,86737,86737,,,,,72421,72421,
"Other income/(expense), net","Other income/(expense), net","Other income/(expense), net",(52),(52),,,,,(279),(279),,,,,98,98,,,,,(527),(527),
Income before provision for income taxes,Income before provision for income taxes,Income before provision for income taxes,35833,35833,,,,,29310,29310,,,,,86835,86835,,,,,71894,71894,
Provision for income taxes,Provision for income taxes,Provision for income taxes,6255,6255,,,,,4530,4530,,,,,15160,15160,,,,,10784,10784,
Net income,Net income,Net income,$,29578,,,,,$,24780,,,,,$,71675,,,,,$,61110,
,,,,,,,,,,,,,,,,,,,,,,,
Earnings per share:,Earnings per share:,Earnings per share:,,,,,,,,,,,,,,,,,,,,,
Basic,Basic,Basic,$,2.02,,,,,$,1.65,,,,,$,4.87,,,,,$,4.06,
Diluted,Diluted,Diluted,$,2.01,,,,,$,1.65,,,,,$,4.85,,,,,$,4.05,
,,,,,,,,,,,,,,,,,,,,,,,
Shares used in computing earnings per share:,Shares used in computing earnings per share:,Shares used in computing earnings per share:,,,,,,,,,,,,,,,,,,,,,
Basic,Basic,Basic,14673278,14673278,,,,,14994082,14994082,,,,,14710718,14710718,,,,,15037903,15037903,
Diluted,Diluted,Diluted,14725873,14725873,,,,,15056133,15056133,,,,,14768115,14768115,,,,,15103499,15103499,
