0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,,,Amount (in millions),Amount (in millions),Amount (in millions),,,,Weighted-Average Useful Life (in years),Weighted-Average Useful Life (in years),Weighted-Average Useful Life (in years)
Patents and developed technology,Patents and developed technology,Patents and developed technology,$,3600,,,,,7,7,7
Customer relationships,Customer relationships,Customer relationships,4500,4500,,,,,10,10,10
Trade names and other,Trade names and other,Trade names and other,200,200,,,,,7,7,7
Total intangible assets,Total intangible assets,Total intangible assets,$,8300,,,,,,,
