0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended
,,,,,,,,,,,,"March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,"
AOCI Components,AOCI Components,AOCI Components,,,,Location,Location,Location,,,,2025,2025,2025,,,,2026,2026,2026
Unrealized gains (losses) on available-for-sale investments,Unrealized gains (losses) on available-for-sale investments,Unrealized gains (losses) on available-for-sale investments,Unrealized gains (losses) on available-for-sale investments,Unrealized gains (losses) on available-for-sale investments,Unrealized gains (losses) on available-for-sale investments,Unrealized gains (losses) on available-for-sale investments,Unrealized gains (losses) on available-for-sale investments,Unrealized gains (losses) on available-for-sale investments,,,,,,,,,,,,
,,,,,,"Other income (expense), net","Other income (expense), net","Other income (expense), net",,,,$,104,,,,,$,24,
,,,,,,Benefit (provision) for income taxes,Benefit (provision) for income taxes,Benefit (provision) for income taxes,,,,(20),(20),,,,,(5),(5),
,,,,,,Net of income tax,Net of income tax,Net of income tax,,,,84,84,,,,,19,19,
Unrealized gains (losses) on cash flow hedges,Unrealized gains (losses) on cash flow hedges,Unrealized gains (losses) on cash flow hedges,Unrealized gains (losses) on cash flow hedges,Unrealized gains (losses) on cash flow hedges,Unrealized gains (losses) on cash flow hedges,Unrealized gains (losses) on cash flow hedges,Unrealized gains (losses) on cash flow hedges,Unrealized gains (losses) on cash flow hedges,,,,,,,,,,,,
Foreign exchange derivatives,Foreign exchange derivatives,Foreign exchange derivatives,,,,Revenue,Revenue,Revenue,,,,242,242,,,,,(211),(211),
Interest rate derivatives,Interest rate derivatives,Interest rate derivatives,,,,"Other income (expense), net","Other income (expense), net","Other income (expense), net",,,,0,0,,,,,1,1,
,,,,,,Benefit (provision) for income taxes,Benefit (provision) for income taxes,Benefit (provision) for income taxes,,,,(45),(45),,,,,52,52,
,,,,,,Net of income tax,Net of income tax,Net of income tax,,,,197,197,,,,,(158),(158),
"Total amount reclassified, net of income tax","Total amount reclassified, net of income tax","Total amount reclassified, net of income tax","Total amount reclassified, net of income tax","Total amount reclassified, net of income tax","Total amount reclassified, net of income tax","Total amount reclassified, net of income tax","Total amount reclassified, net of income tax","Total amount reclassified, net of income tax",,,,$,281,,,,,$,(139),
