0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,,,,,,,,,,,,,,,,,,,,,,
,,,"Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,"
,,,2025,2025,2025,2025,2025,2025,2025,2025,2025,,,,2026,2026,2026,2026,2026,2026,2026,2026,2026
,,,Revenues,Revenues,Revenues,,,,"Other income (expense), net","Other income (expense), net","Other income (expense), net",,,,Revenues,Revenues,Revenues,,,,"Other income (expense), net","Other income (expense), net","Other income (expense), net"
Total amounts included in the Consolidated Statements of Income,Total amounts included in the Consolidated Statements of Income,Total amounts included in the Consolidated Statements of Income,$,90234,,,,,$,11183,,,,,$,109896,,,,,$,37716,
,,,,,,,,,,,,,,,,,,,,,,,
Effect of cash flow hedges:,Effect of cash flow hedges:,Effect of cash flow hedges:,,,,,,,,,,,,,,,,,,,,,
Foreign exchange derivatives,Foreign exchange derivatives,Foreign exchange derivatives,,,,,,,,,,,,,,,,,,,,,
Amount included in the assessment of effectiveness,Amount included in the assessment of effectiveness,Amount included in the assessment of effectiveness,$,242,,,,,$,0,,,,,$,(211),,,,,$,0,
Amount excluded from the assessment of effectiveness,Amount excluded from the assessment of effectiveness,Amount excluded from the assessment of effectiveness,18,18,,,,,0,0,,,,,31,31,,,,,0,0,
Effect of fair value hedges:,Effect of fair value hedges:,Effect of fair value hedges:,,,,,,,,,,,,,,,,,,,,,
Foreign exchange derivatives,Foreign exchange derivatives,Foreign exchange derivatives,,,,,,,,,,,,,,,,,,,,,
Hedged items,Hedged items,Hedged items,0,0,,,,,(9),(9),,,,,0,0,,,,,0,0,
Amount included in the assessment of effectiveness,Amount included in the assessment of effectiveness,Amount included in the assessment of effectiveness,0,0,,,,,9,9,,,,,0,0,,,,,0,0,
Amount excluded from the assessment of effectiveness,Amount excluded from the assessment of effectiveness,Amount excluded from the assessment of effectiveness,0,0,,,,,1,1,,,,,0,0,,,,,0,0,
Effect of net investment hedges:,Effect of net investment hedges:,Effect of net investment hedges:,,,,,,,,,,,,,,,,,,,,,
Foreign exchange derivatives,Foreign exchange derivatives,Foreign exchange derivatives,,,,,,,,,,,,,,,,,,,,,
Amount excluded from the assessment of effectiveness,Amount excluded from the assessment of effectiveness,Amount excluded from the assessment of effectiveness,0,0,,,,,31,31,,,,,0,0,,,,,62,62,
Effect of non-designated hedges:,Effect of non-designated hedges:,Effect of non-designated hedges:,,,,,,,,,,,,,,,,,,,,,
Foreign exchange derivatives,Foreign exchange derivatives,Foreign exchange derivatives,0,0,,,,,65,65,,,,,0,0,,,,,(179),(179),
Credit derivatives,Credit derivatives,Credit derivatives,0,0,,,,,0,0,,,,,0,0,,,,,(148),(148),
Other derivatives,Other derivatives,Other derivatives,0,0,,,,,(71),(71),,,,,0,0,,,,,14,14,
Total gains (losses),Total gains (losses),Total gains (losses),$,260,,,,,$,26,,,,,$,(180),,,,,$,(251),
