0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,,,,,,,,,,,,,,,,,,,,,,
,,,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,,,,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended
,,,"March 28, 2026","March 28, 2026","March 28, 2026",,,,"March 29, 2025","March 29, 2025","March 29, 2025",,,,"March 28, 2026","March 28, 2026","March 28, 2026",,,,"March 29, 2025","March 29, 2025","March 29, 2025"
Provision for income taxes,Provision for income taxes,Provision for income taxes,$,6255,,,,,$,4530,,,,,$,15160,,,,,$,10784,
Effective tax rate,Effective tax rate,Effective tax rate,17.5,17.5,%,,,,15.5,15.5,%,,,,17.5,17.5,%,,,,15.0,15.0,%
Statutory federal income tax rate,Statutory federal income tax rate,Statutory federal income tax rate,21,21,%,,,,21,21,%,,,,21,21,%,,,,21,21,%
