0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,,,,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended
,,,"March 28, 2026","March 28, 2026","March 28, 2026",,,,"March 29, 2025","March 29, 2025","March 29, 2025",,,,Change,Change,Change,,,,"March 28, 2026","March 28, 2026","March 28, 2026",,,,"March 29, 2025","March 29, 2025","March 29, 2025",,,,Change,Change,Change
Research and development,Research and development,Research and development,$,11419,,,,,$,8550,,,,,34,34,%,,,,$,22306,,,,,$,16818,,,,,33,33,%
Percentage of total net sales,Percentage of total net sales,Percentage of total net sales,10,10,%,,,,9,9,%,,,,,,,,,,9,9,%,,,,8,8,%,,,,,,
"Selling, general and administrative","Selling, general and administrative","Selling, general and administrative",$,7477,,,,,$,6728,,,,,11,11,%,,,,$,14969,,,,,$,13903,,,,,8,8,%
Percentage of total net sales,Percentage of total net sales,Percentage of total net sales,7,7,%,,,,7,7,%,,,,,,,,,,6,6,%,,,,6,6,%,,,,,,
Total operating expenses,Total operating expenses,Total operating expenses,$,18896,,,,,$,15278,,,,,24,24,%,,,,$,37275,,,,,$,30721,,,,,21,21,%
Percentage of total net sales,Percentage of total net sales,Percentage of total net sales,17,17,%,,,,16,16,%,,,,,,,,,,15,15,%,,,,14,14,%,,,,,,
