0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,,,,,,,,,,,,,,,
(In millions),,"Three Months EndedMarch 31,","Three Months EndedMarch 31,","Three Months EndedMarch 31,","Three Months EndedMarch 31,","Three Months EndedMarch 31,","Three Months EndedMarch 31,",,,,"Nine Months EndedMarch 31,","Nine Months EndedMarch 31,","Nine Months EndedMarch 31,","Nine Months EndedMarch 31,","Nine Months EndedMarch 31,",
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,2026,2026,,,2025,2025,,,,2026,,,,2025,
,,,,,,,,,,,,,,,,
Net realized gains on investments sold,,$,32,,,$,9,,,$,106,,,$,66,
Net unrealized gains on investments still held,,,1621,,,,135,,,,1371,,,,572,
Impairments of investments,,,(31,),,,(27,),,,(87,),,,(899,)
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Total,,$,1622,,,$,117,,,$,1390,,,$,(261,)
,,,,,,,,,,,,,,,,
