0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,,,,,,,,,,,,,,,,,,,,,,
,,,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,,,,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended
,,,"March 28, 2026","March 28, 2026","March 28, 2026",,,,"March 29, 2025","March 29, 2025","March 29, 2025",,,,"March 28, 2026","March 28, 2026","March 28, 2026",,,,"March 29, 2025","March 29, 2025","March 29, 2025"
"Total shareholders’ equity, beginning balances","Total shareholders’ equity, beginning balances","Total shareholders’ equity, beginning balances",$,88190,,,,,$,66758,,,,,$,73733,,,,,$,56950,
,,,,,,,,,,,,,,,,,,,,,,,
Common stock and additional paid-in capital:,Common stock and additional paid-in capital:,Common stock and additional paid-in capital:,,,,,,,,,,,,,,,,,,,,,
Beginning balances,Beginning balances,Beginning balances,95221,95221,,,,,84768,84768,,,,,93568,93568,,,,,83276,83276,
Common stock issued,Common stock issued,Common stock issued,878,878,,,,,825,825,,,,,878,878,,,,,825,825,
Common stock withheld related to net share settlement of equity awards,Common stock withheld related to net share settlement of equity awards,Common stock withheld related to net share settlement of equity awards,(250),(250),,,,,(206),(206),,,,,"(2,308)","(2,308)",,,,,"(2,097)","(2,097)",
Share-based compensation,Share-based compensation,Share-based compensation,3658,3658,,,,,3324,3324,,,,,7369,7369,,,,,6707,6707,
Ending balances,Ending balances,Ending balances,99507,99507,,,,,88711,88711,,,,,99507,99507,,,,,88711,88711,
,,,,,,,,,,,,,,,,,,,,,,,
Retained earnings/(Accumulated deficit):,Retained earnings/(Accumulated deficit):,Retained earnings/(Accumulated deficit):,,,,,,,,,,,,,,,,,,,,,
Beginning balances,Beginning balances,Beginning balances,"(2,177)","(2,177)",,,,,"(11,221)","(11,221)",,,,,"(14,264)","(14,264)",,,,,"(19,154)","(19,154)",
Net income,Net income,Net income,29578,29578,,,,,24780,24780,,,,,71675,71675,,,,,61110,61110,
Dividends and dividend equivalents declared,Dividends and dividend equivalents declared,Dividends and dividend equivalents declared,"(3,855)","(3,855)",,,,,"(3,794)","(3,794)",,,,,"(7,735)","(7,735)",,,,,"(7,613)","(7,613)",
Common stock withheld related to net share settlement of equity awards,Common stock withheld related to net share settlement of equity awards,Common stock withheld related to net share settlement of equity awards,(88),(88),,,,,(85),(85),,,,,"(1,024)","(1,024)",,,,,"(1,187)","(1,187)",
Common stock repurchased,Common stock repurchased,Common stock repurchased,"(11,099)","(11,099)",,,,,"(25,232)","(25,232)",,,,,"(36,293)","(36,293)",,,,,"(48,708)","(48,708)",
Ending balances,Ending balances,Ending balances,12359,12359,,,,,"(15,552)","(15,552)",,,,,12359,12359,,,,,"(15,552)","(15,552)",
,,,,,,,,,,,,,,,,,,,,,,,
Accumulated other comprehensive loss:,Accumulated other comprehensive loss:,Accumulated other comprehensive loss:,,,,,,,,,,,,,,,,,,,,,
Beginning balances,Beginning balances,Beginning balances,"(4,854)","(4,854)",,,,,"(6,789)","(6,789)",,,,,"(5,571)","(5,571)",,,,,"(7,172)","(7,172)",
Other comprehensive income/(loss),Other comprehensive income/(loss),Other comprehensive income/(loss),(521),(521),,,,,426,426,,,,,196,196,,,,,809,809,
Ending balances,Ending balances,Ending balances,"(5,375)","(5,375)",,,,,"(6,363)","(6,363)",,,,,"(5,375)","(5,375)",,,,,"(6,363)","(6,363)",
,,,,,,,,,,,,,,,,,,,,,,,
"Total shareholders’ equity, ending balances","Total shareholders’ equity, ending balances","Total shareholders’ equity, ending balances",$,106491,,,,,$,66796,,,,,$,106491,,,,,$,66796,
,,,,,,,,,,,,,,,,,,,,,,,
Dividends and dividend equivalents declared per share or RSU,Dividends and dividend equivalents declared per share or RSU,Dividends and dividend equivalents declared per share or RSU,$,0.26,,,,,$,0.25,,,,,$,0.52,,,,,$,0.50,
