0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,,,,,,,,,,,,,,,
,,Derivative,Derivative,,,,Derivative,,,Derivative,Derivative,,,Derivative,Derivative,
(In millions),,Assets,Assets,,,,Liabilities,,,Assets,Assets,,,Liabilities,Liabilities,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,"March 31,2026","March 31,2026","March 31,2026","March 31,2026","March 31,2026","March 31,2026",,,"June 30,2025","June 30,2025","June 30,2025","June 30,2025","June 30,2025","June 30,2025",
,,,,,,,,,,,,,,,,
Designated as Hedging Instruments,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Foreign exchange contracts,,$,56,,,$,(66,),,$,89,,,$,(44,)
Interest rate contracts,,,4,,,,0,,,,15,,,,0,
,,,,,,,,,,,,,,,,
Not Designated as Hedging Instruments,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Foreign exchange contracts,,,974,,,,(427,),,,248,,,,(809,)
Equity contracts,,,34,,,,(160,),,,385,,,,(983,)
Other contracts,,,12,,,,(18,),,,21,,,,(1,)
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Gross amounts of derivatives,,,1080,,,,(671,),,,758,,,,"(1,837",)
Gross amounts of derivatives offset in the balance sheets,,,(328,),,,329,,,,(258,),,,260,
Cash collateral received,,,0,,,,(404,),,,0,,,,(99,)
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Net amounts of derivatives,,$,752,,,$,(746,),,$,500,,,$,"(1,676",)
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Reported as,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Short-term investments,,$,44,,,$,0,,,$,10,,,$,0,
Other current assets,,,704,,,,0,,,,201,,,,0,
Equity and other investments,,,0,,,,0,,,,272,,,,0,
Other long-term assets,,,4,,,,0,,,,17,,,,0,
Other current liabilities,,,0,,,,(630,),,,0,,,,"(1,639",)
Other long-term liabilities,,,0,,,,(116,),,,0,,,,(37,)
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Total,,$,752,,,$,(746,),,$,500,,,$,"(1,676",)
,,,,,,,,,,,,,,,,
