0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,,,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended
,,,"March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,"
,,,2025,2025,2025,,,,2026,2026,2026
Gross unrealized gain on non-marketable equity securities accounted for under the measurement alternative,Gross unrealized gain on non-marketable equity securities accounted for under the measurement alternative,Gross unrealized gain on non-marketable equity securities accounted for under the measurement alternative,$,9715,,,,,$,36660,
Gross unrealized loss (including impairments) on non-marketable equity securities accounted for under the measurement alternative,Gross unrealized loss (including impairments) on non-marketable equity securities accounted for under the measurement alternative,Gross unrealized loss (including impairments) on non-marketable equity securities accounted for under the measurement alternative,(399),(399),,,,,(346),(346),
Unrealized net gain (loss) on non-marketable equity securities accounted for under the measurement alternative,Unrealized net gain (loss) on non-marketable equity securities accounted for under the measurement alternative,Unrealized net gain (loss) on non-marketable equity securities accounted for under the measurement alternative,9316,9316,,,,,36314,36314,
Unrealized net gain (loss) on marketable and other equity securities,Unrealized net gain (loss) on marketable and other equity securities,Unrealized net gain (loss) on marketable and other equity securities,227,227,,,,,105,105,
Realized net gain (loss) on marketable and non-marketable equity securities sold during the period,Realized net gain (loss) on marketable and non-marketable equity securities sold during the period,Realized net gain (loss) on marketable and non-marketable equity securities sold during the period,215,215,,,,,496,496,
"Total gain (loss) on equity securities in other income (expense), net (1)","Total gain (loss) on equity securities in other income (expense), net (1)","Total gain (loss) on equity securities in other income (expense), net (1)",$,9758,,,,,$,36915,
