0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,,,Operating Leases,Operating Leases,Operating Leases,,,,Finance Leases,Finance Leases,Finance Leases
Remainder of 2026,Remainder of 2026,Remainder of 2026,$,2485,,,,,$,144,
2027,2027,2027,3229,3229,,,,,349,349,
2028,2028,2028,2643,2643,,,,,339,339,
2029,2029,2029,2186,2186,,,,,319,319,
2030,2030,2030,1797,1797,,,,,247,247,
Thereafter,Thereafter,Thereafter,6467,6467,,,,,1237,1237,
Total undiscounted lease payments,Total undiscounted lease payments,Total undiscounted lease payments,18807,18807,,,,,2635,2635,
Less: imputed interest,Less: imputed interest,Less: imputed interest,"(2,646)","(2,646)",,,,,(421),(421),
Total lease liability balance,Total lease liability balance,Total lease liability balance,$,16161,,,,,$,2214,
