0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,,,,,,,,,,,,,,,,,,,,,,
101.INS,101.INS,101.INS,*,*,*,,,,Inline XBRL Instance Document - the instance document does not appear in the Interactive Data File because its XBRL tags are embedded within the Inline XBRL document.,Inline XBRL Instance Document - the instance document does not appear in the Interactive Data File because its XBRL tags are embedded within the Inline XBRL document.,Inline XBRL Instance Document - the instance document does not appear in the Interactive Data File because its XBRL tags are embedded within the Inline XBRL document.,,,,,,,,,,,,
101.SCH,101.SCH,101.SCH,*,*,*,,,,Inline XBRL Taxonomy Extension Schema Document,Inline XBRL Taxonomy Extension Schema Document,Inline XBRL Taxonomy Extension Schema Document,,,,,,,,,,,,
101.CAL,101.CAL,101.CAL,*,*,*,,,,Inline XBRL Taxonomy Extension Calculation Linkbase Document,Inline XBRL Taxonomy Extension Calculation Linkbase Document,Inline XBRL Taxonomy Extension Calculation Linkbase Document,,,,,,,,,,,,
101.DEF,101.DEF,101.DEF,*,*,*,,,,Inline XBRL Taxonomy Extension Definition Linkbase Document,Inline XBRL Taxonomy Extension Definition Linkbase Document,Inline XBRL Taxonomy Extension Definition Linkbase Document,,,,,,,,,,,,
101.LAB,101.LAB,101.LAB,*,*,*,,,,Inline XBRL Taxonomy Extension Label Linkbase Document,Inline XBRL Taxonomy Extension Label Linkbase Document,Inline XBRL Taxonomy Extension Label Linkbase Document,,,,,,,,,,,,
101.PRE,101.PRE,101.PRE,*,*,*,,,,Inline XBRL Taxonomy Extension Presentation Linkbase Document,Inline XBRL Taxonomy Extension Presentation Linkbase Document,Inline XBRL Taxonomy Extension Presentation Linkbase Document,,,,,,,,,,,,
104,104,104,*,*,*,,,,Cover Page Interactive Data File (formatted as Inline XBRL and contained in Exhibit 101),Cover Page Interactive Data File (formatted as Inline XBRL and contained in Exhibit 101),Cover Page Interactive Data File (formatted as Inline XBRL and contained in Exhibit 101),,,,,,,,,,,,
