0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,,,,,,,,,,,,,,,,,,,,,,
,,,Google Services,Google Services,Google Services,,,,Google Cloud,Google Cloud,Google Cloud,,,,Other Bets,Other Bets,Other Bets,,,,Total,Total,Total
"Balance as of December 31, 2025","Balance as of December 31, 2025","Balance as of December 31, 2025",$,24870,,,,,$,7660,,,,,$,850,,,,,$,33380,
Additions,Additions,Additions,1143,1143,,,,,23841,23841,,,,,0,0,,,,,24984,24984,
Foreign currency translation and other adjustments,Foreign currency translation and other adjustments,Foreign currency translation and other adjustments,(28),(28),,,,,(3),(3),,,,,(559),(559),,,,,(590),(590),
"Balance as of March 31, 2026","Balance as of March 31, 2026","Balance as of March 31, 2026",$,25985,,,,,$,31498,,,,,$,291,,,,,$,57774,
