0,1,2,3,4,5
,,,,,
Goodwill(1),Goodwill(1),Goodwill(1),$,2170,
Property and equipment,Property and equipment,Property and equipment,5111,5111,
Debt,Debt,Debt,"(1,214)","(1,214)",
Net liabilities assumed(2),Net liabilities assumed(2),Net liabilities assumed(2),(205),(205),
Total purchase price,Total purchase price,Total purchase price,$,5862,
