0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
,,,,,,,,,,,,,,,,,,,,,,,,
(In millions),,Gross Carrying Amount,Gross Carrying Amount,,,Accumulated Amortization,Accumulated Amortization,,,Net Carrying Amount,Net Carrying Amount,,,Gross Carrying Amount,Gross Carrying Amount,,,Accumulated Amortization,Accumulated Amortization,,,NetCarryingAmount,NetCarryingAmount,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,"March 31,2026","March 31,2026","March 31,2026","March 31,2026","March 31,2026","March 31,2026","March 31,2026","March 31,2026","March 31,2026","March 31,2026",,,"June 30,2025","June 30,2025","June 30,2025","June 30,2025","June 30,2025","June 30,2025","June 30,2025","June 30,2025","June 30,2025","June 30,2025",
,,,,,,,,,,,,,,,,,,,,,,,,
Marketing-related,,$,16495,,,$,"(4,492",),,$,12003,,,$,16502,,,$,"(3,901",),,$,12601,
Technology-based,,,22757,,,,"(17,500",),,,5257,,,,22560,,,,"(14,959",),,,7601,
Customer-related,,,4278,,,,"(2,500",),,,1778,,,,4278,,,,"(2,050",),,,2228,
Contract-based,,,381,,,,(94,),,,287,,,,217,,,,(43,),,,174,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Total,,$,43911,,,$,"(24,586",),,$,19325,,,$,43557,,,$,"(20,953",),,$,22604,
,,,,,,,,,,,,,,,,,,,,,,,,
