0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,,,,,,,,,,,,,,,
(In millions),,"Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,",,,,"Nine Months Ended March 31,","Nine Months Ended March 31,","Nine Months Ended March 31,","Nine Months Ended March 31,","Nine Months Ended March 31,",
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,2026,,,,2025,,,,2026,,,,2025,
,,,,,,,,,,,,,,,,
Operating lease cost,,$,1775,,,$,1476,,,$,5172,,,$,3929,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Finance lease cost:,,,,,,,,,,,,,,,,
Amortization of right-of-use assets,,$,1406,,,$,900,,,$,3856,,,$,2426,
Interest on lease liabilities,,,668,,,,374,,,,1829,,,,986,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Total finance lease cost,,$,2074,,,$,1274,,,$,5685,,,$,3412,
,,,,,,,,,,,,,,,,
