0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
,,,,,,,,,,,,,,,,,,,,,,,,
"(In millions, except percentages)",,"Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,",,,PercentageChange,PercentageChange,,,"Nine Months EndedMarch 31,","Nine Months EndedMarch 31,","Nine Months EndedMarch 31,","Nine Months EndedMarch 31,","Nine Months EndedMarch 31,","Nine Months EndedMarch 31,",,,PercentageChange,PercentageChange,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,2026,2026,,,2025,2025,,,,,,,2026,2026,,,2025,2025,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
General and administrative,,$,1931,,,$,1737,,,,11%,,,$,5669,,,$,5233,,,,8%,
As a percent of revenue,,,2%,,,,2%,,,,0ppt,,,,2%,,,,3%,,,,(1)ppt,
,,,,,,,,,,,,,,,,,,,,,,,,
