0,1,2,3,4,5
,,,,,
2026 (remaining six months),2026 (remaining six months),2026 (remaining six months),$,2994.0,
2027,2027,2027,7343,7343.0,
2028,2028,2028,6130,6130.0,
2029,2029,2029,5394,5394.0,
2030,2030,2030,5281,5281.0,
Thereafter,Thereafter,Thereafter,549,549.0,
Total,Total,Total,$,27691.0,
