0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,,,,,,,,,,,,,,,
"(In millions, except per share amounts) (Unaudited)",,"Three Months EndedMarch 31,","Three Months EndedMarch 31,","Three Months EndedMarch 31,","Three Months EndedMarch 31,","Three Months EndedMarch 31,","Three Months EndedMarch 31,",,,,"Nine Months EndedMarch 31,","Nine Months EndedMarch 31,","Nine Months EndedMarch 31,","Nine Months EndedMarch 31,","Nine Months EndedMarch 31,",
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,2026,2026,,,2025,2025,,,,2026,,,,2025,
,,,,,,,,,,,,,,,,
Revenue:,,,,,,,,,,,,,,,,
Product,,$,15089,,,$,15319,,,$,47462,,,$,46810,
Service and other,,,67797,,,,54747,,,,194370,,,,158473,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Total revenue,,,82886,,,,70066,,,,241832,,,,205283,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Cost of revenue:,,,,,,,,,,,,,,,,
Product,,,2733,,,,3037,,,,9160,,,,10187,
Service and other,,,24095,,,,18882,,,,67689,,,,53630,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Total cost of revenue,,,26828,,,,21919,,,,76849,,,,63817,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Gross margin,,,56058,,,,48147,,,,164983,,,,141466,
Research and development,,,8915,,,,8198,,,,25565,,,,23659,
Sales and marketing,,,6814,,,,6212,,,,19115,,,,18369,
General and administrative,,,1931,,,,1737,,,,5669,,,,5233,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Operating income,,,38398,,,,32000,,,,114634,,,,94205,
"Other income (expense), net",,,942,,,,(623,),,,7253,,,,"(3,194",)
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Income before income taxes,,,39340,,,,31377,,,,121887,,,,91011,
Provision for income taxes,,,7562,,,,5553,,,,23904,,,,16412,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Net income,,$,31778,,,$,25824,,,$,97983,,,$,74599,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Earnings per share:,,,,,,,,,,,,,,,,
Basic,,$,4.28,,,$,3.47,,,$,13.19,,,$,10.03,
Diluted,,$,4.27,,,$,3.46,,,$,13.14,,,$,9.99,
Weighted average shares outstanding:,,,,,,,,,,,,,,,,
Basic,,,7426,,,,7434,,,,7430,,,,7434,
Diluted,,,7445,,,,7461,,,,7457,,,,7466,
,,,,,,,,,,,,,,,,
