0,1,2,3,4,5,6,7,8
,,,,,,,,
Securities registered pursuant to Section 12(b) of the Act:,Securities registered pursuant to Section 12(b) of the Act:,Securities registered pursuant to Section 12(b) of the Act:,Securities registered pursuant to Section 12(b) of the Act:,Securities registered pursuant to Section 12(b) of the Act:,Securities registered pursuant to Section 12(b) of the Act:,Securities registered pursuant to Section 12(b) of the Act:,Securities registered pursuant to Section 12(b) of the Act:,Securities registered pursuant to Section 12(b) of the Act:
Title of each class,Title of each class,Title of each class,Trading Symbol(s),Trading Symbol(s),Trading Symbol(s),Name of each exchange on which registered,Name of each exchange on which registered,Name of each exchange on which registered
"Class A Common Stock, $0.001 par value","Class A Common Stock, $0.001 par value","Class A Common Stock, $0.001 par value",GOOGL,GOOGL,GOOGL,Nasdaq Stock Market LLC,Nasdaq Stock Market LLC,Nasdaq Stock Market LLC
,,,,,,(Nasdaq Global Select Market),(Nasdaq Global Select Market),(Nasdaq Global Select Market)
"Class C Capital Stock, $0.001 par value","Class C Capital Stock, $0.001 par value","Class C Capital Stock, $0.001 par value",GOOG,GOOG,GOOG,Nasdaq Stock Market LLC,Nasdaq Stock Market LLC,Nasdaq Stock Market LLC
,,,,,,(Nasdaq Global Select Market),(Nasdaq Global Select Market),(Nasdaq Global Select Market)
2.375% Senior Notes due 2028,2.375% Senior Notes due 2028,2.375% Senior Notes due 2028,—,—,—,Nasdaq Stock Market LLC,Nasdaq Stock Market LLC,Nasdaq Stock Market LLC
2.500% Senior Notes due 2029,2.500% Senior Notes due 2029,2.500% Senior Notes due 2029,—,—,—,Nasdaq Stock Market LLC,Nasdaq Stock Market LLC,Nasdaq Stock Market LLC
4.125% Senior Notes due 2029,4.125% Senior Notes due 2029,4.125% Senior Notes due 2029,—,—,—,Nasdaq Stock Market LLC,Nasdaq Stock Market LLC,Nasdaq Stock Market LLC
2.875% Senior Notes due 2031,2.875% Senior Notes due 2031,2.875% Senior Notes due 2031,—,—,—,Nasdaq Stock Market LLC,Nasdaq Stock Market LLC,Nasdaq Stock Market LLC
4.625% Senior Notes due 2032,4.625% Senior Notes due 2032,4.625% Senior Notes due 2032,—,—,—,Nasdaq Stock Market LLC,Nasdaq Stock Market LLC,Nasdaq Stock Market LLC
3.000% Senior Notes due 2033,3.000% Senior Notes due 2033,3.000% Senior Notes due 2033,—,—,—,Nasdaq Stock Market LLC,Nasdaq Stock Market LLC,Nasdaq Stock Market LLC
3.125% Senior Notes due 2034,3.125% Senior Notes due 2034,3.125% Senior Notes due 2034,—,—,—,Nasdaq Stock Market LLC,Nasdaq Stock Market LLC,Nasdaq Stock Market LLC
3.375% Senior Notes due 2037,3.375% Senior Notes due 2037,3.375% Senior Notes due 2037,—,—,—,Nasdaq Stock Market LLC,Nasdaq Stock Market LLC,Nasdaq Stock Market LLC
3.500% Senior Notes due 2038,3.500% Senior Notes due 2038,3.500% Senior Notes due 2038,—,—,—,Nasdaq Stock Market LLC,Nasdaq Stock Market LLC,Nasdaq Stock Market LLC
5.500% Senior Notes due 2041,5.500% Senior Notes due 2041,5.500% Senior Notes due 2041,—,—,—,Nasdaq Stock Market LLC,Nasdaq Stock Market LLC,Nasdaq Stock Market LLC
4.000% Senior Notes due 2044,4.000% Senior Notes due 2044,4.000% Senior Notes due 2044,—,—,—,Nasdaq Stock Market LLC,Nasdaq Stock Market LLC,Nasdaq Stock Market LLC
3.875% Senior Notes due 2045,3.875% Senior Notes due 2045,3.875% Senior Notes due 2045,—,—,—,Nasdaq Stock Market LLC,Nasdaq Stock Market LLC,Nasdaq Stock Market LLC
4.000% Senior Notes due 2054,4.000% Senior Notes due 2054,4.000% Senior Notes due 2054,—,—,—,Nasdaq Stock Market LLC,Nasdaq Stock Market LLC,Nasdaq Stock Market LLC
5.875% Senior Notes due 2058,5.875% Senior Notes due 2058,5.875% Senior Notes due 2058,—,—,—,Nasdaq Stock Market LLC,Nasdaq Stock Market LLC,Nasdaq Stock Market LLC
4.375% Senior Notes due 2064,4.375% Senior Notes due 2064,4.375% Senior Notes due 2064,—,—,—,Nasdaq Stock Market LLC,Nasdaq Stock Market LLC,Nasdaq Stock Market LLC
6.125% Senior Notes due 2126,6.125% Senior Notes due 2126,6.125% Senior Notes due 2126,—,—,—,Nasdaq Stock Market LLC,Nasdaq Stock Market LLC,Nasdaq Stock Market LLC
