0,1,2,3,4
,,,,
(In millions),,,,
,,,,
,,,,
"Year Ending June 30,",,,,
,,,,
"2026 (excluding the nine months ended March 31, 2026)",,$,0.0,
2027,,,9250.0,
2028,,,0.0,
2029,,,2016.0,
2030,,,0.0,
Thereafter,,,34890.0,
,,,,
,,,,
Total,,$,46156.0,
,,,,
