0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,,,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended
,,,"March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,"
,,,2025,2025,2025,,,,2026,2026,2026
Operating lease cost,Operating lease cost,Operating lease cost,$,790,,,,,$,892,
Finance lease cost:,Finance lease cost:,Finance lease cost:,,,,,,,,,
Amortization of lease assets,Amortization of lease assets,Amortization of lease assets,96,96,,,,,226,226,
Interest on lease liabilities,Interest on lease liabilities,Interest on lease liabilities,15,15,,,,,17,17,
Finance lease cost,Finance lease cost,Finance lease cost,111,111,,,,,243,243,
Variable lease cost,Variable lease cost,Variable lease cost,360,360,,,,,403,403,
Total lease cost,Total lease cost,Total lease cost,$,1261,,,,,$,1538,
