0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,,,,,,,,,,,,,,,,,,,,,,
,,,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended
,,,"March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,"
,,,2025,2025,2025,2025,2025,2025,2025,2025,2025,,,,2026,2026,2026,2026,2026,2026,2026,2026,2026
United States,United States,United States,$,43964,,,,,49,49,%,,,,$,53975,,,,,49,49,%
EMEA(1),EMEA(1),EMEA(1),25923,25923,,,,,29,29,,,,,31468,31468,,,,,28,28,
APAC(1),APAC(1),APAC(1),14854,14854,,,,,16,16,,,,,18288,18288,,,,,17,17,
Other Americas(1),Other Americas(1),Other Americas(1),5233,5233,,,,,6,6,,,,,6345,6345,,,,,6,6,
Hedging gains (losses),Hedging gains (losses),Hedging gains (losses),260,260,,,,,0,0,,,,,(180),(180),,,,,0,0,
Total revenues,Total revenues,Total revenues,$,90234,,,,,100,100,%,,,,$,109896,,,,,100,100,%
