0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,,,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended
,,,"March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,"
,,,2025,2025,2025,,,,2026,2026,2026
Net cash provided by operating activities,Net cash provided by operating activities,Net cash provided by operating activities,$,36150,,,,,$,45790,
Net cash used in investing activities,Net cash used in investing activities,Net cash used in investing activities,$,"(16,194)",,,,,$,"(63,389)",
Net cash provided by (used in) financing activities,Net cash provided by (used in) financing activities,Net cash provided by (used in) financing activities,$,"(20,201)",,,,,$,25077,
