0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,,,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended
,,,"March 28, 2026","March 28, 2026","March 28, 2026",,,,"March 29, 2025","March 29, 2025","March 29, 2025"
Maturities 90 days or less:,Maturities 90 days or less:,Maturities 90 days or less:,,,,,,,,,
"Repayments of commercial paper, net","Repayments of commercial paper, net","Repayments of commercial paper, net",$,"(2,123)",,,,,$,"(3,968)",
,,,,,,,,,,,
Maturities greater than 90 days:,Maturities greater than 90 days:,Maturities greater than 90 days:,,,,,,,,,
,,,,,,,,,,,
Repayments of commercial paper,Repayments of commercial paper,Repayments of commercial paper,"(3,788)","(3,788)",,,,,—,—,
,,,,,,,,,,,
,,,,,,,,,,,
"Total repayments of commercial paper, net","Total repayments of commercial paper, net","Total repayments of commercial paper, net",$,"(5,911)",,,,,$,"(3,968)",
