0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,,,,,,,,,,,,,,,,,,,,,,
,,,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,,,,,,,,,,,,
,,,"March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,",,,,,,,,,,,,
,,,2025,2025,2025,,,,2026,2026,2026,,,,$ Change,$ Change,$ Change,,,,% Change,% Change,% Change
Consolidated revenues,Consolidated revenues,Consolidated revenues,$,90234,,,,,$,109896,,,,,$,19662,,,,,22,22,%
,,,,,,,,,,,,,,,,,,,,,,,
Cost of revenues,Cost of revenues,Cost of revenues,$,36361,,,,,$,41271,,,,,$,4910,,,,,14,14,%
Operating expenses,Operating expenses,Operating expenses,$,23267,,,,,$,28929,,,,,$,5662,,,,,24,24,%
,,,,,,,,,,,,,,,,,,,,,,,
Operating income,Operating income,Operating income,$,30606,,,,,$,39696,,,,,$,9090,,,,,30,30,%
Operating margin,Operating margin,Operating margin,34,34,%,,,,36,36,%,,,,,,,,,,2,2,%
,,,,,,,,,,,,,,,,,,,,,,,
"Other income (expense), net","Other income (expense), net","Other income (expense), net",$,11183,,,,,$,37716,,,,,$,26533,,,,,237,237,%
,,,,,,,,,,,,,,,,,,,,,,,
Net income,Net income,Net income,$,34540,,,,,$,62578,,,,,$,28038,,,,,81,81,%
Diluted net income per share(1),Diluted net income per share(1),Diluted net income per share(1),$,2.81,,,,,$,5.11,,,,,$,2.30,,,,,82,82,%
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
