0,1,2
,,
Windows OEM and Devices revenue growth,,"Revenue from sales of Windows Pro and non-Pro licenses sold through the OEM channel and sales of first-party Devices, including Surface and PC accessories"
,,
Xbox content and services revenue growth,,"Revenue from Xbox content and services, comprising first- and third-party content (including games and in-game content), Xbox Game Pass and other subscriptions, Xbox Cloud Gaming, advertising, and other cloud services"
,,
Search advertising revenue (ex TAC) growth,,Revenue from search advertising excluding traffic acquisition costs (“TAC”) paid to Bing Ads network publishers and content partners
