0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Three Months Ended March 31, 2026","Three Months Ended March 31, 2026","Three Months Ended March 31, 2026","Three Months Ended March 31, 2026","Three Months Ended March 31, 2026","Three Months Ended March 31, 2026","Three Months Ended March 31, 2026","Three Months Ended March 31, 2026","Three Months Ended March 31, 2026","Three Months Ended March 31, 2026","Three Months Ended March 31, 2026","Three Months Ended March 31, 2026","Three Months Ended March 31, 2026","Three Months Ended March 31, 2026","Three Months Ended March 31, 2026","Three Months Ended March 31, 2026","Three Months Ended March 31, 2026","Three Months Ended March 31, 2026","Three Months Ended March 31, 2026","Three Months Ended March 31, 2026","Three Months Ended March 31, 2026","Three Months Ended March 31, 2026","Three Months Ended March 31, 2026","Three Months Ended March 31, 2026","Three Months Ended March 31, 2026","Three Months Ended March 31, 2026","Three Months Ended March 31, 2026"
,,,"Class A, Class B, Class C Stock and Additional Paid-In Capital","Class A, Class B, Class C Stock and Additional Paid-In Capital","Class A, Class B, Class C Stock and Additional Paid-In Capital","Class A, Class B, Class C Stock and Additional Paid-In Capital","Class A, Class B, Class C Stock and Additional Paid-In Capital","Class A, Class B, Class C Stock and Additional Paid-In Capital","Class A, Class B, Class C Stock and Additional Paid-In Capital","Class A, Class B, Class C Stock and Additional Paid-In Capital","Class A, Class B, Class C Stock and Additional Paid-In Capital",,,,Accumulated Other Comprehensive Income (Loss),Accumulated Other Comprehensive Income (Loss),Accumulated Other Comprehensive Income (Loss),,,,Retained Earnings,Retained Earnings,Retained Earnings,,,,Total Stockholders’ Equity,Total Stockholders’ Equity,Total Stockholders’ Equity
,,,Shares,Shares,Shares,,,,Amount,Amount,Amount,,,,Accumulated Other Comprehensive Income (Loss),Accumulated Other Comprehensive Income (Loss),Accumulated Other Comprehensive Income (Loss),,,,Retained Earnings,Retained Earnings,Retained Earnings,,,,Total Stockholders’ Equity,Total Stockholders’ Equity,Total Stockholders’ Equity
"Balance as of December 31, 2025","Balance as of December 31, 2025","Balance as of December 31, 2025",12088,12088,,,,,$,93126,,,,,$,"(1,916)",,,,,$,324055,,,,,$,415265,
Stock issued,Stock issued,Stock issued,28,28,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,
Stock-based compensation,Stock-based compensation,Stock-based compensation,0,0,,,,,6793,6793,,,,,0,0,,,,,0,0,,,,,6793,6793,
"Tax withholding related to vesting of restricted stock units, and other","Tax withholding related to vesting of restricted stock units, and other","Tax withholding related to vesting of restricted stock units, and other",0,0,,,,,"(6,267)","(6,267)",,,,,0,0,,,,,0,0,,,,,"(6,267)","(6,267)",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dividends and dividend equivalents declared ($0.21 per share),Dividends and dividend equivalents declared ($0.21 per share),Dividends and dividend equivalents declared ($0.21 per share),0,0,,,,,50,50,,,,,0,0,,,,,"(2,609)","(2,609)",,,,,"(2,559)","(2,559)",
Sale of interest in consolidated entities,Sale of interest in consolidated entities,Sale of interest in consolidated entities,0,0,,,,,3200,3200,,,,,0,0,,,,,0,0,,,,,3200,3200,
Net income,Net income,Net income,0,0,,,,,0,0,,,,,0,0,,,,,62578,62578,,,,,62578,62578,
Other comprehensive income (loss),Other comprehensive income (loss),Other comprehensive income (loss),0,0,,,,,0,0,,,,,(264),(264),,,,,0,0,,,,,(264),(264),
"Balance as of March 31, 2026","Balance as of March 31, 2026","Balance as of March 31, 2026",12116,12116,,,,,$,96902,,,,,$,"(2,180)",,,,,$,384024,,,,,$,478746,
