0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,,,,,,,,,,,,,,,,,,,
,,,,,,"As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026"
,,,,,,Quoted Prices inActive Marketsfor Identical Assets(Level 1),Quoted Prices inActive Marketsfor Identical Assets(Level 1),Quoted Prices inActive Marketsfor Identical Assets(Level 1),,,,Significant OtherObservable Inputs(Level 2),Significant OtherObservable Inputs(Level 2),Significant OtherObservable Inputs(Level 2),,,,Total,Total,Total
Cash,Cash,Cash,,,,,,,,,,,,,,,,$,15408,
Cash equivalents:,Cash equivalents:,Cash equivalents:,,,,,,,,,,,,,,,,,,
Money market funds,Money market funds,Money market funds,,,,$,16686,,,,,$,0,,,,,$,16686,
Time deposits,Time deposits,Time deposits,,,,0,0,,,,,2966,2966,,,,,2966,2966,
Government bonds,Government bonds,Government bonds,,,,0,0,,,,,2946,2946,,,,,2946,2946,
Corporate debt securities,Corporate debt securities,Corporate debt securities,,,,0,0,,,,,57,57,,,,,57,57,
Total cash and cash equivalents,Total cash and cash equivalents,Total cash and cash equivalents,,,,16686,16686,,,,,5969,5969,,,,,38063,38063,
Marketable securities:,Marketable securities:,Marketable securities:,,,,,,,,,,,,,,,,,,
Marketable equity securities,Marketable equity securities,Marketable equity securities,,,,5541,5541,5541,,,,503,503,503,,,,6044,6044,6044
Time deposits,Time deposits,Time deposits,,,,0,0,,,,,0,0,,,,,0,0,
Government bonds,Government bonds,Government bonds,,,,0,0,0,,,,43204,43204,43204,,,,43204,43204,43204
Corporate debt securities,Corporate debt securities,Corporate debt securities,,,,0,0,0,,,,21763,21763,21763,,,,21763,21763,21763
Mortgage-backed and asset-backed securities,Mortgage-backed and asset-backed securities,Mortgage-backed and asset-backed securities,,,,0,0,0,,,,17766,17766,17766,,,,17766,17766,17766
Total marketable securities,Total marketable securities,Total marketable securities,,,,5541,5541,,,,,83236,83236,,,,,88777,88777,
Total,Total,Total,,,,$,22227,,,,,$,89205,,,,,$,126840,
