0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,,,,,,,,,,,,,,,,,,,,,,
,,,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,,,,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended
,,,"March 28, 2026","March 28, 2026","March 28, 2026",,,,"March 29, 2025","March 29, 2025","March 29, 2025",,,,"March 28, 2026","March 28, 2026","March 28, 2026",,,,"March 29, 2025","March 29, 2025","March 29, 2025"
iPhone®,iPhone®,iPhone®,$,56994,,,,,$,46841,,,,,$,142263,,,,,$,115979,
Mac®,Mac®,Mac®,8399,8399,,,,,7949,7949,,,,,16785,16785,,,,,16936,16936,
iPad®,iPad®,iPad®,6914,6914,,,,,6402,6402,,,,,15509,15509,,,,,14490,14490,
"Wearables, Home and Accessories","Wearables, Home and Accessories","Wearables, Home and Accessories",7901,7901,,,,,7522,7522,,,,,19394,19394,,,,,19269,19269,
Services,Services,Services,30976,30976,,,,,26645,26645,,,,,60989,60989,,,,,52985,52985,
Total net sales,Total net sales,Total net sales,$,111184,,,,,$,95359,,,,,$,254940,,,,,$,219659,
,,,,,,,,,,,,,,,,,,,,,,,
Portion of total net sales that was included in deferred revenue as of the beginning of the period,Portion of total net sales that was included in deferred revenue as of the beginning of the period,Portion of total net sales that was included in deferred revenue as of the beginning of the period,$,3987,,,,,$,3672,,,,,$,5834,,,,,$,5440,
