0,1,2,3,4,5,6,7,8
,,,,,,,,
(In millions),,,,,,,,
,,,,,,,,
,,,,,,,,
"Year Ending June 30,",,Operating Leases,Operating Leases,,,Finance Leases,Finance Leases,
,,,,,,,,
"2026 (excluding the nine months ended March 31, 2026)",,$,1735,,,$,1633,
2027,,,5910,,,,6786,
2028,,,4207,,,,6864,
2029,,,3011,,,,6232,
2030,,,2476,,,,6126,
Thereafter,,,7516,,,,56961,
,,,,,,,,
,,,,,,,,
Total lease payments,,,24855,,,,84602,
Less imputed interest,,,"(2,617",),,,"(21,670",)
,,,,,,,,
,,,,,,,,
Total,,$,22238,,,$,62932,
,,,,,,,,
