0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,,,,,,,,,,,,,,,
"(In millions, except per share amounts)",,"Three Months EndedMarch 31,","Three Months EndedMarch 31,","Three Months EndedMarch 31,","Three Months EndedMarch 31,","Three Months EndedMarch 31,","Three Months EndedMarch 31,",,,,"Nine Months EndedMarch 31,","Nine Months EndedMarch 31,","Nine Months EndedMarch 31,","Nine Months EndedMarch 31,","Nine Months EndedMarch 31,",
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,2026,2026,,,2025,2025,,,,2026,,,,2025,
,,,,,,,,,,,,,,,,
Net income available for common shareholders (A),,$,31778,,,$,25824,,,$,97983,,,$,74599,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Weighted average outstanding shares of common stock (B),,,7426,,,,7434,,,,7430,,,,7434,
Dilutive effect of stock-based awards,,,19,,,,27,,,,27,,,,32,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Common stock and common stock equivalents (C),,,7445,,,,7461,,,,7457,,,,7466,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Earnings Per Share,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Basic (A/B),,$,4.28,,,$,3.47,,,$,13.19,,,$,10.03,
Diluted (A/C),,$,4.27,,,$,3.46,,,$,13.14,,,$,9.99,
,,,,,,,,,,,,,,,,
