0,1,2,3,4
,,,,
(In millions),,,,
,,,,
,,,,
"Year Ending June 30,",,,,
,,,,
"2026 (excluding the nine months ended March 31, 2026)",,$,1024.0,
2027,,,3032.0,
2028,,,2081.0,
2029,,,1890.0,
2030,,,1425.0,
Thereafter,,,9873.0,
,,,,
,,,,
Total,,$,19325.0,
,,,,
