0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,,,,,,,,,,,,,,,
(In millions),,"Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,",,,,"Nine Months Ended March 31,","Nine Months Ended March 31,","Nine Months Ended March 31,","Nine Months Ended March 31,","Nine Months Ended March 31,",
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,2026,,,,2025,,,,2026,,,,2025,
,,,,,,,,,,,,,,,,
United States (a),,$,42336,,,$,36084,,,$,123823,,,$,105534,
Other countries,,,40550,,,,33982,,,,118009,,,,99749,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Total,,$,82886,,,$,70066,,,$,241832,,,$,205283,
,,,,,,,,,,,,,,,,
