0,1,2,3,4,5,6,7,8
,,,,,,,,
(In millions),,,,,,,,
,,,,,,,,
,,,,,,,,
,,"March 31,2026","March 31,2026",,,"June 30,2025","June 30,2025",
,,,,,,,,
Land,,$,9813,,,$,9338,
Buildings and improvements,,,172260,,,,137921,
Leasehold improvements,,,15444,,,,12117,
"Servers, network equipment, and software",,,190883,,,,132836,
Furniture and equipment,,,6551,,,,6407,
,,,,,,,,
,,,,,,,,
"Total, at cost",,,394951,,,,298619,
Accumulated depreciation,,,"(111,723",),,,"(93,653",)
,,,,,,,,
,,,,,,,,
"Total, net",,$,283228,,,$,204966,
,,,,,,,,
