0,1,2,3,4,5
,,,,,
Remainder of 2026,Remainder of 2026,Remainder of 2026,$,1080.0,
2027,2027,2027,1310,1310.0,
2028,2028,2028,1146,1146.0,
2029,2029,2029,1098,1098.0,
2030,2030,2030,1061,1061.0,
Thereafter,Thereafter,Thereafter,3554,3554.0,
Total definite-lived intangible assets,Total definite-lived intangible assets,Total definite-lived intangible assets,$,9249.0,
