0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,,,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended
,,,"March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,"
,,,2025,2025,2025,,,,2026,2026,2026
Net income,Net income,Net income,$,34540,,,,,$,62578,
Other comprehensive income (loss):,Other comprehensive income (loss):,Other comprehensive income (loss):,,,,,,,,,
"Change in foreign currency translation adjustment, net of income tax benefit (expense) of $45 and $(54)","Change in foreign currency translation adjustment, net of income tax benefit (expense) of $45 and $(54)","Change in foreign currency translation adjustment, net of income tax benefit (expense) of $45 and $(54)",663,663,,,,,(326),(326),
Available-for-sale investments:,Available-for-sale investments:,Available-for-sale investments:,,,,,,,,,
Change in net unrealized gains (losses),Change in net unrealized gains (losses),Change in net unrealized gains (losses),645,645,,,,,(356),(356),
Less: reclassification adjustment for net (gains) losses included in net income,Less: reclassification adjustment for net (gains) losses included in net income,Less: reclassification adjustment for net (gains) losses included in net income,(84),(84),,,,,(19),(19),
"Net change, net of income tax benefit (expense) of $(159) and $106","Net change, net of income tax benefit (expense) of $(159) and $106","Net change, net of income tax benefit (expense) of $(159) and $106",561,561,,,,,(375),(375),
Cash flow hedges:,Cash flow hedges:,Cash flow hedges:,,,,,,,,,
Change in net unrealized gains (losses),Change in net unrealized gains (losses),Change in net unrealized gains (losses),(313),(313),,,,,279,279,
Less: reclassification adjustment for net (gains) losses included in net income,Less: reclassification adjustment for net (gains) losses included in net income,Less: reclassification adjustment for net (gains) losses included in net income,(197),(197),,,,,158,158,
"Net change, net of income tax benefit (expense) of $131 and $(117)","Net change, net of income tax benefit (expense) of $131 and $(117)","Net change, net of income tax benefit (expense) of $131 and $(117)",(510),(510),,,,,437,437,
Other comprehensive income (loss),Other comprehensive income (loss),Other comprehensive income (loss),714,714,,,,,(264),(264),
Comprehensive income,Comprehensive income,Comprehensive income,$,35254,,,,,$,62314,
