0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,,,,,,,,,,,,,,,
(In millions),,"Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,",,,,"Nine Months Ended March 31,","Nine Months Ended March 31,","Nine Months Ended March 31,","Nine Months Ended March 31,","Nine Months Ended March 31,",
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,2026,,,,2025,,,,2026,,,,2025,
,,,,,,,,,,,,,,,,
Cash paid for amounts included in the measurement of lease liabilities:,,,,,,,,,,,,,,,,
Operating cash flows from operating leases,,$,1532,,,$,955,,,$,4693,,,$,3124,
Operating cash flows from finance leases,,,668,,,,344,,,,1829,,,,938,
Financing cash flows from finance leases,,,839,,,,352,,,,2179,,,,1634,
Right-of-use assets obtained in exchange for lease obligations:,,,,,,,,,,,,,,,,
Operating leases,,,792,,,,1918,,,,3686,,,,6909,
Finance leases,,,4009,,,,3241,,,,19486,,,,14008,
,,,,,,,,,,,,,,,,
