0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,,,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended
,,,"March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,"
,,,2025,2025,2025,,,,2026,2026,2026
Revenues,Revenues,Revenues,$,90234,,,,,$,109896,
Costs and expenses:,Costs and expenses:,Costs and expenses:,,,,,,,,,
Cost of revenues,Cost of revenues,Cost of revenues,36361,36361,,,,,41271,41271,
Research and development,Research and development,Research and development,13556,13556,,,,,17032,17032,
Sales and marketing,Sales and marketing,Sales and marketing,6172,6172,,,,,7606,7606,
General and administrative,General and administrative,General and administrative,3539,3539,,,,,4291,4291,
Total costs and expenses,Total costs and expenses,Total costs and expenses,59628,59628,,,,,70200,70200,
Income from operations,Income from operations,Income from operations,30606,30606,,,,,39696,39696,
"Other income (expense), net","Other income (expense), net","Other income (expense), net",11183,11183,,,,,37716,37716,
Income before income taxes,Income before income taxes,Income before income taxes,41789,41789,,,,,77412,77412,
Provision for income taxes,Provision for income taxes,Provision for income taxes,7249,7249,,,,,14834,14834,
Net income,Net income,Net income,$,34540,,,,,$,62578,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Basic net income per share (Note 12),Basic net income per share (Note 12),Basic net income per share (Note 12),$,2.84,,,,,$,5.17,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Diluted net income per share (Note 12),Diluted net income per share (Note 12),Diluted net income per share (Note 12),$,2.81,,,,,$,5.11,
