0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026"
,,,,,,Adjusted Cost,Adjusted Cost,Adjusted Cost,,,,Gross Unrealized Gains,Gross Unrealized Gains,Gross Unrealized Gains,,,,Gross Unrealized Losses,Gross Unrealized Losses,Gross Unrealized Losses,,,,Fair Value,Fair Value,Fair Value
Time deposits,Time deposits,Time deposits,,,,$,2966,,,,,$,0,,,,,$,0,,,,,$,2966,
Government bonds,Government bonds,Government bonds,,,,44465,44465,44465,,,,272,272,,,,,(101),(101),,,,,44636,44636,
Corporate debt securities,Corporate debt securities,Corporate debt securities,,,,18737,18737,,,,,124,124,,,,,(63),(63),,,,,18798,18798,
Mortgage-backed and asset-backed securities,Mortgage-backed and asset-backed securities,Mortgage-backed and asset-backed securities,,,,14627,14627,,,,,109,109,,,,,(160),(160),,,,,14576,14576,
Total investments with fair value change reflected in other comprehensive income,Total investments with fair value change reflected in other comprehensive income,Total investments with fair value change reflected in other comprehensive income,,,,$,80795,,,,,$,505,,,,,$,(324),,,,,$,80976,
