0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,,,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended
,,,"March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,"
,,,2025,2025,2025,,,,2026,2026,2026
Cash flow hedging relationship:,Cash flow hedging relationship:,Cash flow hedging relationship:,,,,,,,,,
Foreign exchange and other derivatives,Foreign exchange and other derivatives,Foreign exchange and other derivatives,,,,,,,,,
Amount included in the assessment of effectiveness,Amount included in the assessment of effectiveness,Amount included in the assessment of effectiveness,$,(339),,,,,$,259,
Amount excluded from the assessment of effectiveness,Amount excluded from the assessment of effectiveness,Amount excluded from the assessment of effectiveness,(61),(61),,,,,83,83,
,,,,,,,,,,,
Net investment hedging relationship:,Net investment hedging relationship:,Net investment hedging relationship:,,,,,,,,,
Amount included in the assessment of effectiveness,Amount included in the assessment of effectiveness,Amount included in the assessment of effectiveness,,,,,,,,,
Foreign exchange derivatives,Foreign exchange derivatives,Foreign exchange derivatives,(206),(206),,,,,320,320,
Foreign currency-denominated debt,Foreign currency-denominated debt,Foreign currency-denominated debt,0,0,,,,,440,440,
Amounts excluded from the assessment of effectiveness,Amounts excluded from the assessment of effectiveness,Amounts excluded from the assessment of effectiveness,,,,,,,,,
Foreign exchange derivatives,Foreign exchange derivatives,Foreign exchange derivatives,0,0,,,,,1,1,
Total,Total,Total,$,(606),,,,,$,1103,
