0,1,2,3,4,5,6,7,8
,,,,,,,,
(In millions),,,,,,,,
,,,,,,,,
,,,,,,,,
,,"March 31,2026","March 31,2026",,,"June 30,2025","June 30,2025",
,,,,,,,,
Productivity and Business Processes,,$,39904,,,$,50567,
Intelligent Cloud,,,10892,,,,14022,
More Personal Computing,,,2881,,,,2676,
,,,,,,,,
,,,,,,,,
Total,,$,53677,,,$,67265,
,,,,,,,,
