0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,,,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended
,,,"March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,"
,,,2025,2025,2025,,,,2026,2026,2026
Income before provision for income taxes,Income before provision for income taxes,Income before provision for income taxes,$,41789,,,,,$,77412,
Provision for income taxes,Provision for income taxes,Provision for income taxes,$,7249,,,,,$,14834,
Effective tax rate,Effective tax rate,Effective tax rate,17.3,17.3,%,,,,19.2,19.2,%
