0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,,,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended
,,,"March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,"
,,,2025,2025,2025,,,,2026,2026,2026
Google Search & other,Google Search & other,Google Search & other,$,50702,,,,,$,60399,
YouTube ads,YouTube ads,YouTube ads,8927,8927,,,,,9883,9883,
Google Network,Google Network,Google Network,7256,7256,,,,,6971,6971,
Google advertising,Google advertising,Google advertising,66885,66885,,,,,77253,77253,
"Google subscriptions, platforms, and devices","Google subscriptions, platforms, and devices","Google subscriptions, platforms, and devices",10379,10379,,,,,12384,12384,
Google Services total,Google Services total,Google Services total,77264,77264,,,,,89637,89637,
Google Cloud,Google Cloud,Google Cloud,12260,12260,,,,,20028,20028,
Other Bets,Other Bets,Other Bets,450,450,,,,,411,411,
Hedging gains (losses),Hedging gains (losses),Hedging gains (losses),260,260,,,,,(180),(180),
Total revenues,Total revenues,Total revenues,$,90234,,,,,$,109896,
