0,1,2,3,4
,,,,
(In millions),,,,
,,,,
,,,,
"Nine Months Ended March 31, 2026","Nine Months Ended March 31, 2026","Nine Months Ended March 31, 2026","Nine Months Ended March 31, 2026",
,,,,
"Balance, beginning of period",,$,67265,
Deferral of revenue,,,143442,
Recognition of unearned revenue,,,"(157,030",)
,,,,
,,,,
"Balance, end of period",,$,53677,
,,,,
