0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,,,,,,,,,,,,,,,,,,,,,,
,,,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,,,,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended
,,,"March 28, 2026","March 28, 2026","March 28, 2026",,,,"March 29, 2025","March 29, 2025","March 29, 2025",,,,"March 28, 2026","March 28, 2026","March 28, 2026",,,,"March 29, 2025","March 29, 2025","March 29, 2025"
Net income,Net income,Net income,$,29578,,,,,$,24780,,,,,$,71675,,,,,$,61110,
Other comprehensive income/(loss):,Other comprehensive income/(loss):,Other comprehensive income/(loss):,,,,,,,,,,,,,,,,,,,,,
"Change in foreign currency translation, net of tax","Change in foreign currency translation, net of tax","Change in foreign currency translation, net of tax",67,67,,,,,90,90,,,,,(92),(92),,,,,(535),(535),
,,,,,,,,,,,,,,,,,,,,,,,
"Change in unrealized gains/losses on derivative instruments, net of tax:","Change in unrealized gains/losses on derivative instruments, net of tax:","Change in unrealized gains/losses on derivative instruments, net of tax:",,,,,,,,,,,,,,,,,,,,,
Change in fair value of derivative instruments,Change in fair value of derivative instruments,Change in fair value of derivative instruments,162,162,,,,,(318),(318),,,,,373,373,,,,,1333,1333,
Adjustment for net (gains)/losses realized and included in net income,Adjustment for net (gains)/losses realized and included in net income,Adjustment for net (gains)/losses realized and included in net income,44,44,,,,,(628),(628),,,,,281,281,,,,,156,156,
Total change in unrealized gains/losses on derivative instruments,Total change in unrealized gains/losses on derivative instruments,Total change in unrealized gains/losses on derivative instruments,206,206,,,,,(946),(946),,,,,654,654,,,,,1489,1489,
,,,,,,,,,,,,,,,,,,,,,,,
"Change in unrealized gains/losses on marketable debt securities, net of tax:","Change in unrealized gains/losses on marketable debt securities, net of tax:","Change in unrealized gains/losses on marketable debt securities, net of tax:",,,,,,,,,,,,,,,,,,,,,
Change in fair value of marketable debt securities,Change in fair value of marketable debt securities,Change in fair value of marketable debt securities,(808),(808),,,,,1097,1097,,,,,(384),(384),,,,,(550),(550),
Adjustment for net (gains)/losses realized and included in net income,Adjustment for net (gains)/losses realized and included in net income,Adjustment for net (gains)/losses realized and included in net income,14,14,,,,,185,185,,,,,18,18,,,,,405,405,
Total change in unrealized gains/losses on marketable debt securities,Total change in unrealized gains/losses on marketable debt securities,Total change in unrealized gains/losses on marketable debt securities,(794),(794),,,,,1282,1282,,,,,(366),(366),,,,,(145),(145),
,,,,,,,,,,,,,,,,,,,,,,,
Total other comprehensive income/(loss),Total other comprehensive income/(loss),Total other comprehensive income/(loss),(521),(521),,,,,426,426,,,,,196,196,,,,,809,809,
Total comprehensive income,Total comprehensive income,Total comprehensive income,$,29057,,,,,$,25206,,,,,$,71871,,,,,$,61919,
