0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
,,,,,,,,,,,,,,,,,,,,,,,,
"(In millions, except percentages and per share amounts)",,"Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,",,,PercentageChange,PercentageChange,,,"Nine Months EndedMarch 31,","Nine Months EndedMarch 31,","Nine Months EndedMarch 31,","Nine Months EndedMarch 31,","Nine Months EndedMarch 31,","Nine Months EndedMarch 31,",,,PercentageChange,PercentageChange,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,2026,2026,,,2025,2025,,,,,,,2026,2026,,,2025,2025,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Other income (expense), net",,$,942,,,$,(623,),,,251%,,,$,7253,,,$,"(3,194",),,,327%,
Net (gains) losses from investments in OpenAI,,,19,,,,768,,,,(98)%,,,,"(5,898",),,,2692,,,,(319)%,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Adjusted other income (expense), net (non-GAAP)",,$,961,,,$,145,,,,563%,,,$,1355,,,$,(502,),,,370%,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Net income,,$,31778,,,$,25824,,,,23%,,,$,97983,,,$,74599,,,,31%,
"Net (gains) losses from investments in OpenAI, net of tax of $(5), $(185), $1,415, and $(647)",,,14,,,,583,,,,(98)%,,,,"(4,483",),,,2045,,,,(319)%,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Adjusted net income (non-GAAP),,$,31792,,,$,26407,,,,20%,,,$,93500,,,$,76644,,,,22%,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Diluted earnings per share,,$,4.27,,,$,3.46,,,,23%,,,$,13.14,,,$,9.99,,,,32%,
Net (gains) losses from investments in OpenAI,,,0,,,,0.08,,,,(100)%,,,,(0.60,),,,0.28,,,,(314)%,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Adjusted diluted earnings per share (non-GAAP),,$,4.27,,,$,3.54,,,,21%,,,$,12.54,,,$,10.27,,,,22%,
,,,,,,,,,,,,,,,,,,,,,,,,
