0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,,,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended
,,,"March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,"
,,,2025,2025,2025,,,,2026,2026,2026
United States,United States,United States,49,49,%,,,,49,49,%
EMEA,EMEA,EMEA,29,29,%,,,,28,28,%
APAC,APAC,APAC,16,16,%,,,,17,17,%
Other Americas,Other Americas,Other Americas,6,6,%,,,,6,6,%
Hedging gains (losses),Hedging gains (losses),Hedging gains (losses),0,0,%,,,,0,0,%
