0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,,,,,,,,,,,,,,,
(In millions),,Shares,Shares,,Amount,Amount,Amount,,,Shares,Shares,,Amount,Amount,Amount,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Fiscal Year,,,,,,2026,2026,,,,,,,2025,2025,
,,,,,,,,,,,,,,,,
First Quarter,,,8,,,$,3955,,,,7,,,$,2800,
Second Quarter,,,12,,,,5964,,,,8,,,,3500,
Third Quarter,,,7,,,,3400,,,,8,,,,3500,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Total,,,27,,,$,13319,,,,23,,,$,9800,
,,,,,,,,,,,,,,,,
