0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,,,,,,,,,,,,,,,,,,,
Large accelerated filer,Large accelerated filer,Large accelerated filer,,,,☒,☒,☒,,,,Accelerated filer,Accelerated filer,Accelerated filer,,,,☐,☐,☐
Non-accelerated filer,Non-accelerated filer,Non-accelerated filer,,,,☐,☐,☐,,,,Smaller reporting company,Smaller reporting company,Smaller reporting company,,,,☐,☐,☐
,,,,,,,,,,,,Emerging growth company,Emerging growth company,Emerging growth company,,,,☐,☐,☐
