0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference
ExhibitNumber,ExhibitNumber,ExhibitNumber,,,,Exhibit Description,Exhibit Description,Exhibit Description,,,,Form,Form,Form,,,,Exhibit,Exhibit,Exhibit,,,,Filing Date/ Period End Date,Filing Date/ Period End Date,Filing Date/ Period End Date
10.1*,10.1*,10.1*,,,,"Apple Inc. Non-Employee Director Stock Plan, as Amended and Restated, effective as of February 24, 2026.","Apple Inc. Non-Employee Director Stock Plan, as Amended and Restated, effective as of February 24, 2026.","Apple Inc. Non-Employee Director Stock Plan, as Amended and Restated, effective as of February 24, 2026.",,,,8-K,8-K,8-K,,,,10.1,10.1,10.1,,,,2/24/26,2/24/26,2/24/26
10.2*,10.2*,10.2*,,,,"Form of Restricted Stock Unit Award Agreement under Non-Employee Director Stock Plan, effective as of February 24, 2026.","Form of Restricted Stock Unit Award Agreement under Non-Employee Director Stock Plan, effective as of February 24, 2026.","Form of Restricted Stock Unit Award Agreement under Non-Employee Director Stock Plan, effective as of February 24, 2026.",,,,8-K,8-K,8-K,,,,10.2,10.2,10.2,,,,2/24/26,2/24/26,2/24/26
31.1**,31.1**,31.1**,,,,Rule 13a-14(a) / 15d-14(a) Certification of Chief Executive Officer.,Rule 13a-14(a) / 15d-14(a) Certification of Chief Executive Officer.,Rule 13a-14(a) / 15d-14(a) Certification of Chief Executive Officer.,,,,,,,,,,,,,,,,,,
31.2**,31.2**,31.2**,,,,Rule 13a-14(a) / 15d-14(a) Certification of Chief Financial Officer.,Rule 13a-14(a) / 15d-14(a) Certification of Chief Financial Officer.,Rule 13a-14(a) / 15d-14(a) Certification of Chief Financial Officer.,,,,,,,,,,,,,,,,,,
32.1***,32.1***,32.1***,,,,Section 1350 Certifications of Chief Executive Officer and Chief Financial Officer.,Section 1350 Certifications of Chief Executive Officer and Chief Financial Officer.,Section 1350 Certifications of Chief Executive Officer and Chief Financial Officer.,,,,,,,,,,,,,,,,,,
101**,101**,101**,,,,"Inline XBRL Document Set for the condensed consolidated financial statements and accompanying notes in Part I, Item 1, “Financial Statements” of this Quarterly Report on Form 10-Q.","Inline XBRL Document Set for the condensed consolidated financial statements and accompanying notes in Part I, Item 1, “Financial Statements” of this Quarterly Report on Form 10-Q.","Inline XBRL Document Set for the condensed consolidated financial statements and accompanying notes in Part I, Item 1, “Financial Statements” of this Quarterly Report on Form 10-Q.",,,,,,,,,,,,,,,,,,
104**,104**,104**,,,,"Inline XBRL for the cover page of this Quarterly Report on Form 10-Q, included in the Exhibit 101 Inline XBRL Document Set.","Inline XBRL for the cover page of this Quarterly Report on Form 10-Q, included in the Exhibit 101 Inline XBRL Document Set.","Inline XBRL for the cover page of this Quarterly Report on Form 10-Q, included in the Exhibit 101 Inline XBRL Document Set.",,,,,,,,,,,,,,,,,,
