0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
,,,,,,,,,,,,,,,,,,,,,,,,
"(In millions, except percentages and per share amounts)",,"Three Months EndedMarch 31,","Three Months EndedMarch 31,","Three Months EndedMarch 31,","Three Months EndedMarch 31,","Three Months EndedMarch 31,","Three Months EndedMarch 31,",,,PercentageChange,PercentageChange,,,"Nine Months EndedMarch 31,","Nine Months EndedMarch 31,","Nine Months EndedMarch 31,","Nine Months EndedMarch 31,","Nine Months EndedMarch 31,","Nine Months EndedMarch 31,",,,PercentageChange,PercentageChange,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,2026,,,,2025,,,,,,,2026,2026,,,2025,2025,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,,$,82886,,,$,70066,,,,18%,,,$,241832,,,$,205283,,,,18%,
Gross margin,,,56058,,,,48147,,,,16%,,,,164983,,,,141466,,,,17%,
Operating income,,,38398,,,,32000,,,,20%,,,,114634,,,,94205,,,,22%,
Net income,,,31778,,,,25824,,,,23%,,,,97983,,,,74599,,,,31%,
Diluted earnings per share,,,4.27,,,,3.46,,,,23%,,,,13.14,,,,9.99,,,,32%,
,,,,,,,,,,,,,,,,,,,,,,,,
Adjusted net income (non-GAAP),,,31792,,,,26407,,,,20%,,,,93500,,,,76644,,,,22%,
Adjusted diluted earnings per share (non-GAAP),,,4.27,,,,3.54,,,,21%,,,,12.54,,,,10.27,,,,22%,
,,,,,,,,,,,,,,,,,,,,,,,,
