0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"As of December 31, 2025","As of December 31, 2025","As of December 31, 2025","As of December 31, 2025","As of December 31, 2025","As of December 31, 2025","As of December 31, 2025","As of December 31, 2025","As of December 31, 2025","As of December 31, 2025","As of December 31, 2025","As of December 31, 2025","As of December 31, 2025","As of December 31, 2025","As of December 31, 2025","As of December 31, 2025","As of December 31, 2025","As of December 31, 2025","As of December 31, 2025","As of December 31, 2025","As of December 31, 2025"
,,,,,,Adjusted Cost,Adjusted Cost,Adjusted Cost,,,,Gross Unrealized Gains,Gross Unrealized Gains,Gross Unrealized Gains,,,,Gross Unrealized Losses,Gross Unrealized Losses,Gross Unrealized Losses,,,,Fair Value,Fair Value,Fair Value
Time deposits,Time deposits,Time deposits,,,,$,3353,,,,,$,0,,,,,$,0,,,,,$,3353,
Government bonds,Government bonds,Government bonds,,,,49087,49087,49087,,,,443,443,,,,,(26),(26),,,,,49504,49504,
Corporate debt securities,Corporate debt securities,Corporate debt securities,,,,18346,18346,,,,,242,242,,,,,(32),(32),,,,,18556,18556,
Mortgage-backed and asset-backed securities,Mortgage-backed and asset-backed securities,Mortgage-backed and asset-backed securities,,,,14337,14337,,,,,174,174,,,,,(128),(128),,,,,14383,14383,
Total investments with fair value change reflected in other comprehensive income,Total investments with fair value change reflected in other comprehensive income,Total investments with fair value change reflected in other comprehensive income,,,,$,85123,,,,,$,859,,,,,$,(186),,,,,$,85796,
