0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,,,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended
,,,"March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,"
,,,2025,2025,2025,,,,2026,2026,2026
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Operating income (loss):,Operating income (loss):,Operating income (loss):,,,,,,,,,
Google Services,Google Services,Google Services,$,32682,,,,,$,40589,
Google Cloud,Google Cloud,Google Cloud,2177,2177,,,,,6598,6598,
Other Bets,Other Bets,Other Bets,"(1,226)","(1,226)",,,,,"(2,100)","(2,100)",
Alphabet-level activities(1),Alphabet-level activities(1),Alphabet-level activities(1),"(3,027)","(3,027)",,,,,"(5,391)","(5,391)",
Total income from operations,Total income from operations,Total income from operations,$,30606,,,,,$,39696,
