0,1,2,3,4,5
,,,,,
Intangible assets,Intangible assets,Intangible assets,$,8300,
Goodwill(1),Goodwill(1),Goodwill(1),22689,22689,
Net liabilities assumed(2),Net liabilities assumed(2),Net liabilities assumed(2),"(1,522)","(1,522)",
Total purchase price,Total purchase price,Total purchase price,$,29467,
