0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,,,,,,,,,,,,,,,,,,,,,,
,,,Foreign Currency Translation Adjustments,Foreign Currency Translation Adjustments,Foreign Currency Translation Adjustments,,,,Unrealized Gains (Losses) on Available-for-Sale Investments,Unrealized Gains (Losses) on Available-for-Sale Investments,Unrealized Gains (Losses) on Available-for-Sale Investments,,,,Unrealized Gains (Losses) on Cash Flow Hedges,Unrealized Gains (Losses) on Cash Flow Hedges,Unrealized Gains (Losses) on Cash Flow Hedges,,,,Total,Total,Total
"Balance as of December 31, 2025","Balance as of December 31, 2025","Balance as of December 31, 2025",$,"(2,558)",,,,,$,678,,,,,$,(36),,,,,$,"(1,916)",
Other comprehensive income (loss) before reclassifications,Other comprehensive income (loss) before reclassifications,Other comprehensive income (loss) before reclassifications,(338),(338),,,,,(356),(356),,,,,196,196,,,,,(498),(498),
Amounts excluded from the assessment of hedge effectiveness recorded in AOCI,Amounts excluded from the assessment of hedge effectiveness recorded in AOCI,Amounts excluded from the assessment of hedge effectiveness recorded in AOCI,12,12,,,,,0,0,,,,,83,83,,,,,95,95,
Amounts reclassified from AOCI,Amounts reclassified from AOCI,Amounts reclassified from AOCI,0,0,,,,,(19),(19),,,,,158,158,,,,,139,139,
Other comprehensive income (loss),Other comprehensive income (loss),Other comprehensive income (loss),(326),(326),,,,,(375),(375),,,,,437,437,,,,,(264),(264),
"Balance as of March 31, 2026","Balance as of March 31, 2026","Balance as of March 31, 2026",$,"(2,884)",,,,,$,303,,,,,$,401,,,,,$,"(2,180)",
