0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,,,,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended
,,,"March 28, 2026","March 28, 2026","March 28, 2026",,,,"March 29, 2025","March 29, 2025","March 29, 2025",,,,Change,Change,Change,,,,"March 28, 2026","March 28, 2026","March 28, 2026",,,,"March 29, 2025","March 29, 2025","March 29, 2025",,,,Change,Change,Change
Americas,Americas,Americas,$,45093,,,,,$,40315,,,,,12,12,%,,,,$,103622,,,,,$,92963,,,,,11,11,%
Europe,Europe,Europe,28055,28055,,,,,24454,24454,,,,,15,15,%,,,,66201,66201,,,,,58315,58315,,,,,14,14,%
Greater China,Greater China,Greater China,20497,20497,,,,,16002,16002,,,,,28,28,%,,,,46023,46023,,,,,34515,34515,,,,,33,33,%
Japan,Japan,Japan,8401,8401,,,,,7298,7298,,,,,15,15,%,,,,17814,17814,,,,,16285,16285,,,,,9,9,%
Rest of Asia Pacific,Rest of Asia Pacific,Rest of Asia Pacific,9138,9138,,,,,7290,7290,,,,,25,25,%,,,,21280,21280,,,,,17581,17581,,,,,21,21,%
Total net sales,Total net sales,Total net sales,$,111184,,,,,$,95359,,,,,17,17,%,,,,$,254940,,,,,$,219659,,,,,16,16,%
