0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,,,,,,,,,,,,,,,,,,,,,,
,,,Foreign Currency Translation Adjustments,Foreign Currency Translation Adjustments,Foreign Currency Translation Adjustments,,,,Unrealized Gains (Losses) on Available-for-Sale Investments,Unrealized Gains (Losses) on Available-for-Sale Investments,Unrealized Gains (Losses) on Available-for-Sale Investments,,,,Unrealized Gains (Losses) on Cash Flow Hedges,Unrealized Gains (Losses) on Cash Flow Hedges,Unrealized Gains (Losses) on Cash Flow Hedges,,,,Total,Total,Total
"Balance as of December 31, 2024","Balance as of December 31, 2024","Balance as of December 31, 2024",$,"(5,080)",,,,,$,(299),,,,,$,579,,,,,$,"(4,800)",
Other comprehensive income (loss) before reclassifications,Other comprehensive income (loss) before reclassifications,Other comprehensive income (loss) before reclassifications,663,663,,,,,645,645,,,,,(252),(252),,,,,1056,1056,
Amounts excluded from the assessment of hedge effectiveness recorded in AOCI,Amounts excluded from the assessment of hedge effectiveness recorded in AOCI,Amounts excluded from the assessment of hedge effectiveness recorded in AOCI,0,0,,,,,0,0,,,,,(61),(61),,,,,(61),(61),
Amounts reclassified from AOCI,Amounts reclassified from AOCI,Amounts reclassified from AOCI,0,0,,,,,(84),(84),,,,,(197),(197),,,,,(281),(281),
Other comprehensive income (loss),Other comprehensive income (loss),Other comprehensive income (loss),663,663,,,,,561,561,,,,,(510),(510),,,,,714,714,
"Balance as of March 31, 2025","Balance as of March 31, 2025","Balance as of March 31, 2025",$,"(4,417)",,,,,$,262,,,,,$,69,,,,,$,"(4,086)",
